hash,health,hintsSolution,level,moves,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s0d6,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s1d6,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s2d6,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s3d6,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s4d6,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5,s5d6,s6d0,s6d1,s6d2,s6d3,s6d4,s6d5,s6d6
84,1,"R,L,D,D,R,L",84,6,start,ice,ice,,,,,grass,grass,grass,,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,sword,enemy,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,"R,R,U,D,R",85,7,start,ice,grass,,,,,ice,grass,grass,,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,gem,boulder,,,,,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,"D,D,R,R,U,L",86,6,start,endClosed,ice,,,,,grass,grass,ice,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,hammer,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,"R,L,D,D,R,R",87,7,start,ice,ice,,,,,marsh,marsh,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,,enemy,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,"D,R,D,L,U,R,D",88,7,start,ice,grass,,,,,ice,ice,ice,,,,,grass,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,,gem,gem,gem,,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,"D,R,U,D,R,U,U",89,7,start,grass,endClosed,,,,,ice,ice,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,,gem,gem,boulder,,,,,sword,enemy,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,"D,D,U,R,D,U,L",90,7,start,grass,grass,,,,,endClosed,ice,grass,,,,,grass,grass,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,sword,,,,,,gem,enemy,,,,,sword,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,"R,D,R,L,U,D,L",91,7,start,ice,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,,,,,boulder,warp,boulder,,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,"D,D,R,U,L,D",92,6,start,ice,marsh,,,,,endClosed,ice,marsh,,,,,grass,grass,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,"L,D,R,L,U,R,D,R",93,8,grass,ice,ice,,,,,ice,start,grass,,,,,ice,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,gem,,,,,gem,,warp,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,"R,L,D,R,U,D,R",94,10,start,ice,ice,,,,,ice,ice,grass,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,"D,R,D,L,U,D,R",95,7,start,ice,ice,,,,,ice,ice,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,gem,gem,gem,,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,"R,L,D,R",96,4,start,ice,ice,,,,,ice,ice,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,,enemy,,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,"D,R,U,U,D",97,5,start,ice,ice,,,,,ice,endClosed,ice,,,,,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,,gem,,,,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2,"D,R,U,L,R,D",98,6,start,ice,ice,,,,,ice,ice,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,sword,gem,gem,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,"R,U,R,L,R,L,L,U,R,R",99,10,start,ice,ice,,,,,ice,ice,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,sword,,,,,gem,gem,boulder,,,,,enemy,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,"D,R,U,D,R",100,5,start,ice,ice,,,,,ice,ice,ice,,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,sword,,,,,gem,gem,enemy,,,,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,"R,D,L,D,R,R,R",101,7,start,ice,ice,grass,,,,grass,grass,ice,grass,,,,ice,ice,ice,grass,,,,ice,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,boulder,,,,boulder,boulder,gem,boulder,,,,gem,gem,gem,boulder,,,,gem,hammer,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,"D,R,R,D,L,U,L,D,R,D,L,R,R,R",102,14,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,gem,,,,warp,boulder,gem,gem,,,,gem,hammer,boulder,boulder,,,,gem,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,"D,R,D,D,L,R,U,U,U,R,R,D",103,12,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,warp,,,,gem,hammer,boulder,boulder,,,,boulder,boulder,boulder,warp,,,,sword,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,"R,L,U,U,D,D,R,R,D,D,U,L",104,12,grass,grass,grass,grass,,,,grass,start,grass,grass,,,,grass,grass,endClosed,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,gem,enemy,hammer,boulder,,,,enemy,,warp,hammer,,,,sword,warp,,boulder,,,,boulder,sword,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,
105,1,"R,R,L,L,D,D,R,R,R,D",105,10,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,boulder,,,,hammer,boulder,boulder,boulder,,,,hammer,boulder,boulder,boulder,,,,boulder,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,"D,U,R,R,R,L,D,D,R,D",106,12,start,grass,grass,grass,,,,grass,marsh,marsh,grass,,,,grass,marsh,marsh,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,sword,enemy,gem,,,,sword,,,enemy,,,,enemy,,,enemy,,,,enemy,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,"R,R,R,D,L,D,L,L,D,R,R,R",107,15,start,marsh,grass,grass,,,,marsh,marsh,grass,grass,,,,grass,grass,marsh,marsh,,,,grass,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,gem,gem,,,,gem,gem,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,"D,R,R,R,U,D,D,L,D,L,L,R,R,U,U,L,U",108,17,start,endClosed,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,,,,gem,sword,,enemy,,,,enemy,boulder,sword,gem,,,,gem,enemy,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,
109,1,"R,U,L,U,D",109,5,start,ice,ice,grass,,,,ice,grass,grass,ice,,,,ice,grass,grass,ice,,,,endClosed,ice,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,warp,,,,gem,enemy,enemy,gem,,,,gem,enemy,enemy,gem,,,,,gem,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,
110,1,"R,R,R,D,L,U,L,D,R",110,9,start,grass,grass,grass,,,,ice,ice,grass,grass,,,,ice,ice,grass,grass,,,,grass,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,,,,boulder,,,,,boulder,gem,,boulder,,,,,,,,,,,,,,,,,,,,,,,,
111,1,"D,D,D,R,R,U,L,D,D,L,L",111,12,start,grass,grass,ice,,,,grass,grass,grass,ice,,,,endClosed,grass,grass,ice,,,,grass,marsh,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,,,,,,,gem,,,,,,,gem,,,,sword,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,
112,1,"D,D,U,D,D,R,U,U,R,L,L,D",112,12,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,gem,boulder,,,,gem,gem,boulder,warp,,,,hammer,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,"R,R,D,L,D,L,U,R,D",113,13,start,ice,marsh,grass,,,,marsh,ice,grass,grass,,,,marsh,ice,ice,grass,,,,marsh,ice,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,boulder,,sword,,,,,gem,boulder,,enemy,,,,sword,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,"D,U,D,U,R,R,R,L,D,D,D,R",114,16,start,marsh,grass,grass,,,,grass,marsh,marsh,grass,,,,grass,grass,marsh,grass,,,,grass,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,warp,,,boulder,,,,hammer,boulder,,boulder,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,"R,D,L,D,L,D,R",115,7,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,,gem,,boulder,,,,hammer,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,"R,D,R,D,L,R,U,L",116,8,start,endClosed,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,boulder,,,boulder,,,,,boulder,hammer,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,"R,R,D,L,R,D,L,R,D",117,16,start,marsh,ice,marsh,,,,marsh,marsh,ice,marsh,,,,ice,ice,ice,marsh,,,,marsh,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,"R,D,R,D,L,U,D,R",118,8,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,,gem,,,,hammer,gem,boulder,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,"R,D,D,U,L,D,D",119,7,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,,gem,warp,,,,warp,boulder,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,"D,R,R,L,R,D,L,R",120,8,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,,,,,gem,warp,gem,,,,,boulder,,,,,,,gem,enemy,sword,,,,,,,,,,,,,,,,,,,,,,,,,
121,2,"R,D,R,U,D",121,5,start,ice,ice,ice,,,,grass,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,,sword,enemy,boulder,,,,enemy,enemy,enemy,gem,,,,hammer,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,"D,R,D,U,U,R,U,R,D",122,9,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,warp,,,,,gem,,gem,,,,,warp,gem,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,"R,R,D,L,U,R,D",123,7,start,grass,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,gem,,,,boulder,hammer,,gem,,,,gem,gem,gem,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,"D,R,U,D,R",124,5,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,boulder,,,,,,,hammer,,,,gem,,gem,boulder,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,"D,R,U,R,D,L,U,L,D,U,R,D",125,12,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,boulder,hammer,gem,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,"D,R,U,D,R",126,6,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,hammer,,,,,,,,,,,,gem,,gem,boulder,,,,boulder,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,"R,D,L,U,L,D,U,R,D",127,9,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,,,boulder,gem,,,,boulder,hammer,,boulder,,,,gem,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,
128,3,"R,D,L,U,R,U,D",128,7,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,warp,,,,gem,,enemy,gem,,,,gem,,enemy,warp,,,,sword,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,"D,L,R,R,D",129,5,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,gem,,,,,gem,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1,"R,D,L,R,D,L,R",130,7,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,,,,,,boulder,gem,,hammer,,,,gem,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,"D,D,D,R,U,R,R,L,D,R",131,10,start,grass,grass,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,gem,gem,enemy,,,,,gem,gem,enemy,,,,sword,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,"D,D,R,D,U,R,L,R,D,L",132,10,start,ice,ice,ice,,,,grass,ice,ice,ice,,,,grass,ice,ice,ice,,,,grass,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,warp,,,,,boulder,enemy,boulder,,,,,gem,gem,gem,,,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,,
133,1,"D,D,D,R,R,U,L",133,11,start,endClosed,ice,ice,,,,marsh,marsh,ice,ice,,,,marsh,marsh,ice,ice,,,,marsh,marsh,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,,,gem,,,,,,,gem,,,,gem,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,
134,2,"R,D,R,U,R",134,5,start,ice,ice,endClosed,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,,,sword,,,,,,,,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,"R,D,L,D,U,R,U,D,R",135,9,start,grass,ice,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,grass,ice,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,warp,,,,,gem,gem,sword,,,,,gem,gem,,,,,warp,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
136,2,"D,R,U,R,U,U,L,L",136,12,start,endClosed,marsh,marsh,,,,ice,grass,grass,marsh,,,,ice,grass,grass,marsh,,,,ice,ice,ice,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,sword,,gem,,,,gem,,,gem,,,,gem,gem,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,
137,1,"R,D,U,R,D,L,U,R",137,8,start,endClosed,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,,gem,gem,,,,,hammer,,boulder,,,,boulder,gem,,hammer,,,,,,,,,,,,,,,,,,,,,,,,
138,1,"D,R,L,U,R,R,R,D",138,8,start,grass,grass,grass,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,enemy,gem,,,,,,,boulder,,,,sword,gem,gem,,,,,boulder,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
139,2,"R,D,R,D,L,D",139,6,start,ice,ice,grass,,,,ice,ice,grass,grass,,,,ice,ice,grass,grass,,,,ice,ice,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,enemy,,,,,,gem,sword,,,,boulder,,boulder,hammer,,,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,
140,1,"D,D,R,U,U,L,D,U,L",140,9,start,endClosed,grass,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,boulder,,hammer,,,,,gem,,gem,,,,,boulder,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,
141,2,"R,D,L,U,R,U,U,D,D,D",141,10,start,grass,grass,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,hammer,,,,,,gem,enemy,,,,gem,sword,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,"D,U,R,D,R,D",142,7,start,ice,ice,marsh,,,,ice,marsh,marsh,ice,,,,ice,marsh,marsh,ice,,,,grass,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,gem,,,gem,,,,gem,,,gem,,,,boulder,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,"D,R,R,D,L,L,U,L,D",143,11,start,ice,marsh,ice,,,,endClosed,ice,marsh,ice,,,,grass,ice,marsh,ice,,,,grass,grass,marsh,ice,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,hammer,gem,,,,,gem,,,,,,,boulder,,gem,,,,,,,,,,,,,,,,,,,,,,,,
144,2,"D,R,D,R,U,R,D,D",144,13,start,marsh,ice,marsh,,,,ice,ice,ice,marsh,,,,marsh,ice,ice,ice,,,,marsh,ice,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,,gem,boulder,,,,,,,,enemy,gem,,,,,gem,sword,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,"D,D,R,D,L,D,U,U,L",145,11,start,endClosed,grass,grass,,,,marsh,ice,ice,grass,,,,grass,ice,ice,marsh,,,,grass,marsh,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,,gem,,,,gem,,,,,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,
146,1,"D,U,R,D,L,D,R,U,D,R",146,11,start,ice,ice,grass,,,,ice,marsh,grass,ice,,,,ice,grass,ice,grass,,,,marsh,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,enemy,,,,,,gem,,,,,,gem,,,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,"R,R,R,D,L,D,L,D,L,R",147,14,start,marsh,marsh,grass,,,,grass,grass,marsh,grass,,,,grass,grass,marsh,grass,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,sword,boulder,,gem,,,,boulder,sword,,enemy,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,"U,L,D,U,D,U,U,D,D,D,D,R,R,U",148,15,grass,marsh,grass,grass,,,,grass,start,grass,grass,,,,grass,grass,endClosed,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,warp,,boulder,gem,,,,enemy,,boulder,warp,,,,,boulder,,sword,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2,"R,D,D,R,U,D,L",149,7,start,ice,ice,ice,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,endClosed,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,sword,enemy,enemy,,,,sword,boulder,warp,boulder,,,,boulder,warp,boulder,gem,,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,
150,4,"R,D,L,U,D,R",150,6,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,enemy,,,,,gem,gem,warp,,,,enemy,gem,gem,,,,,warp,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,"D,R,U,L,R,D,L,D,R,R",151,13,start,ice,ice,grass,,,,ice,marsh,ice,marsh,,,,ice,ice,ice,grass,,,,grass,marsh,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,sword,,,,heart,,gem,,,,,gem,gem,gem,boulder,,,,enemy,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,"D,R,D,R,U,D",152,6,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,heart,gem,enemy,,,,boulder,,,gem,,,,,sword,heart,,,,,,,,,,,,,,,,,,,,,,,,,
153,2,"D,R,U,R,U,L,R,D",153,8,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,enemy,gem,heart,,,,,heart,heart,,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,"D,D,R,D,L,L,U,R",154,8,start,grass,endClosed,grass,,,,grass,ice,ice,marsh,,,,ice,ice,ice,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,heart,,,,,,,gem,hammer,,gem,,,,enemy,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,"D,R,U,D,L,U,R,R,R",155,9,start,grass,grass,endClosed,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart,,enemy,enemy,,,,,,enemy,gem,,,,gem,sword,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,
156,1,"R,L,D,R,R,R,U,D,D",156,9,start,ice,ice,ice,,,,ice,grass,grass,grass,,,,ice,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,gem,enemy,,,,heart,boulder,boulder,gem,,,,,sword,gem,enemy,,,,enemy,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,"R,L,D,R,R,R,U,D,D",157,10,start,ice,ice,marsh,,,,ice,grass,grass,grass,,,,ice,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,boulder,boulder,gem,,,,hammer,gem,gem,boulder,,,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,"R,R,R,L,L,L,D,D,D,U,R",158,11,start,grass,grass,grass,,,,grass,marsh,marsh,marsh,,,,grass,ice,endClosed,marsh,,,,grass,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,sword,,,,,enemy,enemy,enemy,,,,,enemy,,enemy,,,,gem,enemy,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,
159,1,"D,R,D,U,R,L,D,R",159,8,start,grass,grass,grass,,,,ice,ice,ice,grass,,,,grass,grass,ice,grass,,,,grass,grass,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,boulder,gem,,,,sword,enemy,sword,boulder,,,,boulder,boulder,enemy,boulder,,,,boulder,boulder,hammer,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,"D,U,R,D,R",160,5,start,ice,ice,grass,,,,grass,grass,ice,grass,,,,grass,ice,ice,endClosed,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,enemy,,,,heart,boulder,gem,,,,,warp,gem,gem,,,,,,,warp,sword,,,,,,,,,,,,,,,,,,,,,,,,
